"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.79299429465435","5.60519811943156","5.54585379874166","5.50611379941041","5.38252133458975","5.28330535099834","5.2300152704369","5.22938643308026","5.40944752703232","5.33226383517276","5.06100912657931","4.75406759797534","4.44242778249941","4.24148219278503","4.12850019628595","4.03276286846349","3.95209659814253","3.80220910310612","3.73948654221578","3.74782901004217","",
"Afghanistan","AFG","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8","4.8","4.6","4.6","4.6","4.5","4.4","4.3","4.2","4","3.9","3.8","3.7","3.7","3.6","3.6","3.6","3.4","3.5","3.6","",
"Africa Western and Central","AFW","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.72682533574876","3.67850643361954","3.62297048405334","3.56137127312741","3.55806451425951","3.51225686010809","3.55979698679011","3.47848052142049","3.38029562504109","3.35598718572354","3.31420705070672","3.19784033297613","3.12916983907982","3.11260842171538","3.00456072340476","2.88224774549462","2.82104493821306","2.76976515398234","2.72917411372696","2.67897182083607","",
"Angola","AGO","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","3.2","3.4","3.6","3.6","3.4","3.6","3","3.2","2.7","2.9","2.7","2.7","2.6","2.4","2.6","2.6","2.4","2.3","2.3","",
"Albania","ALB","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","2.9","3","3.3","3.1","5.2","5.8","5.8","6","6","6.1","8.3","3.4","3.5","3.2","3.2","3.1","2.9","2.8","2.7","",
"Andorra","AND","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2403280898538","3.18908533664451","3.13745962404021","3.06619956664041","3.01819743479247","2.98840838759691","2.92748945679187","2.88290119686091","2.84979930496395","2.83274525519685","2.83783236701476","2.81694626870714","2.81751729352957","2.74330062443095","2.67722219384248","2.65874693927242","2.59134727741872","2.54755709602804","2.53256582345069","2.49238968263774","",
"United Arab Emirates","ARE","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9","3.9","3.7","3.5","3.5","3.4","3.5","3.3","3.2","3.2","3.3","3.2","3.2","3.2","3.1","3","2.9","2.8","2.9","3","",
"Argentina","ARG","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4","4","4.2","3.8","3.6","3.6","3.3","3.3","3.3","3.2","3.2","3.3","3.5","3.2","3.7","3.3","3.1","3.5","3.6","3.3","",
"Armenia","ARM","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1.3","1.3","1.1","2.1","2.1","3.2","3.1","2.7","1.9","3.5","4.4","4.4","5.2","4.6","3.7","2.6","0.7","0.9","1.3","",
"American Samoa","ASM","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0.2","0","0","0.9","0.8","1","0","0.7","0.8","",
